text,video_path,audio_path,num_frames
"The video shows a young adult with dark hair and light skin tone, dressed in a dark jacket over a striped shirt. Initially, they are seen in profile, looking intently. The camera then pans down, showing their hands holding a framed family photograph. The photograph depicts a woman, a man, and a young girl. A child's head is partially visible in the foreground, also looking at the photo. The setting appears to be a cozy living room with a wooden dresser in the background, under soft, natural lighting. The individual reflects on the happy family moment captured in the photograph. <AUDCAP>A gentle, melancholic piano melody plays in the background.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_001/b7/4f/b74fa4996f34706f9e7e3328ed4ab187,/cpfs01/dataset/OpenHumanVid/clips/part_001/b7/4f/b74fa4996f34706f9e7e3328ed4ab187,257
"A fair-skinned woman in her thirties with dark hair, wearing a gray coat, white top, and blue jeans, walks confidently towards the camera through a modern hospital hallway. She holds a white cup in her hand. Behind her, two other women, dressed in medical scrubs (one in a light blue top and dark pants, the other in a pink top and dark pants), walk away from the camera. The floor is highly polished and reflective, mirroring the figures and the fluorescent lighting from above. <AUDCAP>Soft, melodic background music with female vocals is playing. The song has a gentle, ballad-like quality, likely a Korean pop (K-pop) genre, sung in Korean.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_001/0e/78/0e78f876a0aa8c1279a5a112e0eb1ac4,/cpfs01/dataset/OpenHumanVid/clips/part_001/0e/78/0e78f876a0aa8c1279a5a112e0eb1ac4,143
"In the video, a single individual with short, dark hair and fair skin tone is seen working out on a chest press machine in a well-equipped gym, wearing a sleeveless top and a red and black patterned scarf. The gym is brightly lit and clean, with various exercise machines and weights surrounding the individual as they perform a controlled chest press exercise with focused movements.<AUDCAP>Energetic electronic workout music plays in the background. The sounds of a man grunting with exertion and the clinking of a weight machine are heard.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_001/21/b2/21b277f9a4180952750eb96f94f77686,/cpfs01/dataset/OpenHumanVid/clips/part_001/21/b2/21b277f9a4180952750eb96f94f77686,207
"The scene is set in a modern, well-lit interior, likely a hotel suite, with a large television and decorative wooden paneling. A man in a dark suit jacket and a patterned shirt walks through an open doorway, followed by another man in a dark suit. A woman in a black suit jacket and pants stands near the doorway, saying, <S>Welcome.<E> The man in the patterned shirt replies, <S>Welcome.<E> Another voice then says, <S>Thank you.<E> Further down a brightly lit hallway, two more women are visible. <AUDCAP>A clear, welcoming female voice, followed by a clear, welcoming male voice, and then a polite male voice expressing gratitude. The overall sound environment is quiet, with a subtle ambient hum.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_001/ff/86/ff8692a7c2c6a783a245910bfaa891d2,/cpfs01/dataset/OpenHumanVid/clips/part_001/ff/86/ff8692a7c2c6a783a245910bfaa891d2,166
"A man in his forties, dressed in a dark suit with a light-colored shirt and patterned tie, stands in a dimly lit urban setting with festive lighting. He looks upwards and to the right with a slight smile and a contemplative expression. In the blurred background, a woman with dark hair, appearing to be in her thirties, smiles happily. The scene is illuminated by blurred bokeh lights, suggesting a social gathering or event. <AUDCAP>Upbeat, cheerful orchestral music plays in the background, accompanied by faint, distant sounds of crowd chatter and applause, creating a festive atmosphere.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_001/0d/4e/0d4ee98fc66d41ddebc3bd2c5affe079,/cpfs01/dataset/OpenHumanVid/clips/part_001/0d/4e/0d4ee98fc66d41ddebc3bd2c5affe079,227
"The video shows a single woman, likely in her thirties with long, dark hair, rushing down a vibrant urban street in a gray business suit, her blue blouse visible underneath. She exits a building through an arched doorway, passing by a chalkboard sign, a wooden bench, and a distant bicycle rider, amidst a backdrop of a mix of old and new architecture. <AUDCAP>Uptempo, light, and slightly suspenseful instrumental music with a driving rhythm. Prominent sounds of running footsteps.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_001/b2/63/b26338d2e1baee78e88fbe698ba8fd5a,/cpfs01/dataset/OpenHumanVid/clips/part_001/b2/63/b26338d2e1baee78e88fbe698ba8fd5a,191
"The video shows a single woman, dressed in a dark, striped blazer, seated in a high-back, leather office chair, engaged in a conversation or meeting at a desk in a professional office setting. She is surrounded by a backdrop of awards and certificates, with a laptop, mug, and documents on the desk, and her focused demeanor and changing posture convey her active engagement in the discussion. <AUDCAP>A subtle room tone, quiet and consistent, is present, followed by the introduction of light, upbeat instrumental background music.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_001/bc/87/bc8721af480ad80fa3bb9fc3e9d98151,/cpfs01/dataset/OpenHumanVid/clips/part_001/bc/87/bc8721af480ad80fa3bb9fc3e9d98151,155
"The video captures a warm and intimate moment between two people. A man with short, dark, styled hair and light skin tone, dressed in a light-colored collared shirt, is shown in profile. His hand then brings a wine glass filled with red wine to clink with another person's glass, sharing a toast in a cozy indoor setting with a wooden-framed window in the background. <AUDCAP>Soft, melodic acoustic guitar music plays. A distinct clinking sound of glasses is heard.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_001/78/36/7836ec88e6c5aee0470850184cc7868e,/cpfs01/dataset/OpenHumanVid/clips/part_001/78/36/7836ec88e6c5aee0470850184cc7868e,145
"The video shows a single male character, dressed in a formal grey military uniform with gold and red insignia, standing in a dimly lit room with traditional wooden panels. He has a mustache and a groomed hairstyle. He turns his head and shoulders, first looking left with a slight smile, then forward, then right, maintaining a composed and disciplined demeanor. <AUDCAP>Dramatic instrumental music plays. A subtle whoosh sound effect is heard, followed by a faint ding sound effect at the end.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_001/f6/cb/f6cb2478772cd42104f64f490c2740db,/cpfs01/dataset/OpenHumanVid/clips/part_001/f6/cb/f6cb2478772cd42104f64f490c2740db,172
"A man with long, curly light brown hair, wearing a gray hoodie and camouflage shorts, stands in a suburban backyard. He speaks to a young boy with dark curly hair in a red and white shirt, and another young man with brown wavy hair in a blue hoodie and khaki pants. The man says, <S>Erlich, tenga conmigo. Mi casa es mi casa.<E> The young man in blue looks down, seemingly uncomfortable. As the man in the gray hoodie finishes speaking, he walks forward, and three other young men appear from the right: one with long dark hair in a red t-shirt, one in a striped t-shirt, and another in a brown suit jacket. The young man in the blue hoodie then asks, <S>So, should I call the cops now before anyone else does?<E> <AUDCAP>A cheerful, upbeat background music track with acoustic guitar and light percussion plays throughout. A male voice speaks Spanish with a clear, moderately deep and authoritative tone. Later, a different male voice speaks English with a clear, young, and slightly anxious tone.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_001/7a/ac/7aac21a2d7e5d219d94b685dd801a53e,/cpfs01/dataset/OpenHumanVid/clips/part_001/7a/ac/7aac21a2d7e5d219d94b685dd801a53e,278
