text,video_path,audio_path,num_frames
"The video shows a young adult with dark hair and light skin tone, dressed in a dark jacket over a striped shirt. Initially, they are seen in profile, looking intently. The camera then pans down, showing their hands holding a framed family photograph. The photograph depicts a woman, a man, and a young girl. A child's head is partially visible in the foreground, also looking at the photo. The setting appears to be a cozy living room with a wooden dresser in the background, under soft, natural lighting. The individual reflects on the happy family moment captured in the photograph. <AUDCAP>A gentle, melancholic piano melody plays in the background.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_001/b7/4f/b74fa4996f34706f9e7e3328ed4ab187,/cpfs01/dataset/OpenHumanVid/clips/part_001/b7/4f/b74fa4996f34706f9e7e3328ed4ab187,257
"A fair-skinned woman in her thirties with dark hair, wearing a gray coat, white top, and blue jeans, walks confidently towards the camera through a modern hospital hallway. She holds a white cup in her hand. Behind her, two other women, dressed in medical scrubs (one in a light blue top and dark pants, the other in a pink top and dark pants), walk away from the camera. The floor is highly polished and reflective, mirroring the figures and the fluorescent lighting from above. <AUDCAP>Soft, melodic background music with female vocals is playing. The song has a gentle, ballad-like quality, likely a Korean pop (K-pop) genre, sung in Korean.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_001/0e/78/0e78f876a0aa8c1279a5a112e0eb1ac4,/cpfs01/dataset/OpenHumanVid/clips/part_001/0e/78/0e78f876a0aa8c1279a5a112e0eb1ac4,143
"A single person, dressed in a black and white checkered shirt and dark pants, walks steadily down a bright and clean hospital corridor lined with informational posters and signs, including one indicating the ICU. The corridor is empty, with the individual's dark hair and light skin tone standing out against the clinical backdrop.<AUDCAP>Emotional instrumental music featuring piano and strings, creating a reflective and slightly melancholic atmosphere.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_001/2d/e1/2de16a9f5d1edb39478682f1043236bc,/cpfs01/dataset/OpenHumanVid/clips/part_001/2d/e1/2de16a9f5d1edb39478682f1043236bc,160
"A man with short black hair and a neutral expression stands in a blurred hospital or clinic hallway. He is wearing a black and white checkered shirt and looks directly at the camera. The background consists of blue and white elements, suggesting a medical setting. <AUDCAP>Calm, instrumental music with piano and strings, creating a reflective and serene atmosphere.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_001/00/f5/00f5d96dbabfaba5cbe8c2afc01fa8d2,/cpfs01/dataset/OpenHumanVid/clips/part_001/00/f5/00f5d96dbabfaba5cbe8c2afc01fa8d2,186
"The video features a man with medium-length, wavy brown hair and light skin tone, wearing a white collared garment. He is shown in a close-up, with his head slightly tilted, his eyes wide and gaze directed upwards and to the side, and his mouth slightly open, conveying an expression of intense focus or surprise. The background is blurred and dark, with soft, even lighting illuminating his face. <AUDCAP>A dramatic and suspenseful instrumental music piece plays throughout the video, characterized by sustained string sounds, creating a tense and focused atmosphere.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_001/aa/b4/aab426885bc0ca8aa390bd3ba848667f,/cpfs01/dataset/OpenHumanVid/clips/part_001/aa/b4/aab426885bc0ca8aa390bd3ba848667f,166
"A young man in his twenties, with dark hair and fair skin, stands alone in a hospital corridor, wearing a black and white checkered shirt, his head bowed in contemplation as he leans against the wall. The soft, natural lighting and clinical surroundings, including informational posters and a closed door, create a somber atmosphere of quiet reflection. <AUDCAP>Calm, melancholic instrumental music plays softly in the background.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_001/32/f7/32f7bfd4f3f2ff74447d1da785d3e334,/cpfs01/dataset/OpenHumanVid/clips/part_001/32/f7/32f7bfd4f3f2ff74447d1da785d3e334,188
"In a living room adorned with red Chinese lanterns and decorations, a woman with long dark hair, wearing a light-colored jacket and a dark skirt, stands near a dining table. A man in a dark coat rapidly walks from the left, passing her and exiting the frame to the right. The woman then slowly turns her body to face the direction the man left. <AUDCAP>Slow, melancholic orchestral music with prominent strings and piano creates a somber mood. The distinct sound of a door closing is heard.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_001/28/c6/28c62b9a5c9e2ea26c5dddcac2449e20,/cpfs01/dataset/OpenHumanVid/clips/part_001/28/c6/28c62b9a5c9e2ea26c5dddcac2449e20,328
"The video shows two men, a middle-aged professional in a dark suit with a red tie and a lapel pin, and a younger colleague in a similar dark suit, standing in a formal office setting. They appear to be engaged in a serious discussion. The scene is set amidst dark wooden furniture, including a large bookshelf filled with books, a desk, and an office chair. The middle-aged man observes the younger, who has his head bowed. Both men have fair skin tones and dark hair. <AUDCAP>Melancholic, sentimental instrumental music plays softly.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_001/a0/ab/a0ab99f67be8fed3e19ccc5817f9aac6,/cpfs01/dataset/OpenHumanVid/clips/part_001/a0/ab/a0ab99f67be8fed3e19ccc5817f9aac6,158
"In the video, a single individual with short, dark hair and fair skin tone is seen working out on a chest press machine in a well-equipped gym, wearing a sleeveless top and a red and black patterned scarf. The gym is brightly lit and clean, with various exercise machines and weights surrounding the individual as they perform a controlled chest press exercise with focused movements.<AUDCAP>Energetic electronic workout music plays in the background. The sounds of a man grunting with exertion and the clinking of a weight machine are heard.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_001/21/b2/21b277f9a4180952750eb96f94f77686,/cpfs01/dataset/OpenHumanVid/clips/part_001/21/b2/21b277f9a4180952750eb96f94f77686,207
"The scene is set in a modern, well-lit interior, likely a hotel suite, with a large television and decorative wooden paneling. A man in a dark suit jacket and a patterned shirt walks through an open doorway, followed by another man in a dark suit. A woman in a black suit jacket and pants stands near the doorway, saying, <S>Welcome.<E> The man in the patterned shirt replies, <S>Welcome.<E> Another voice then says, <S>Thank you.<E> Further down a brightly lit hallway, two more women are visible. <AUDCAP>A clear, welcoming female voice, followed by a clear, welcoming male voice, and then a polite male voice expressing gratitude. The overall sound environment is quiet, with a subtle ambient hum.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_001/ff/86/ff8692a7c2c6a783a245910bfaa891d2,/cpfs01/dataset/OpenHumanVid/clips/part_001/ff/86/ff8692a7c2c6a783a245910bfaa891d2,166
