text,path,num_frames
"The video opens with a wide shot of a bustling fishing harbor under an overcast sky. In the foreground, several small, bright blue fishing boats are moored in the dark water. The word ""MEDITE"" is visible on the side of one of these boats, though the full word is obscured. Some boats contain fishing gear, including red buoys and white mesh. Above the boats, a concrete pier is filled with numerous people. Many individuals are dressed in traditional clothing, including long robes and head coverings. They are engaged in various activities, some appearing to be loading or unloading goods, with a cart visible among them. Behind the pier, several large fishing vessels are dry-docked on the land, their hulls exposed and appearing weathered. The boats are in various states, with some showing scaffolding or ladders alongside them. Birds are seen flying in the sky above the scene. The camera remains static throughout the video, capturing the vibrant activity of the harbor.",/videogen/audio_preprocess/matrix/video/01555e80ff47cdc86777_038_sdr_0.mp4,63
"The video starts with a close-up shot of a variety of fish displayed on a wooden table. Red snapper and smaller silver fish are visible, suggesting a market setting. The camera then smoothly transitions to a medium shot, revealing several women walking towards the camera. Most of the women are wearing headscarves, and one woman in the foreground is wearing a yellow long dress and blue headscarf, while another next to her is wearing a multi-colored floral top and white headscarf. As they continue to walk, the camera follows them. The scene then shifts to an over-the-shoulder perspective, looking past the women towards a man with a beard and a suit, presumably Keanu Reeves, standing in the distance near a large boat. The women are walking through a crowded market, and the camera follows them from behind, showing the backs of their heads and shoulders as they move towards the man. The shot ends with Keanu Reeves visible in the background, partially obscured by the women walking in front of the camera.",/videogen/audio_preprocess/matrix/video/01555e80ff47cdc86777_038_sdr_1.mp4,127
"The video opens with a close-up shot of a man's face, positioned to the right of the frame, with his eyes looking towards the left. He has a dark complexion, a mustache, and a beard. He is wearing a light blue and gold turban with a silver accessory on top. The background is blurred, showing a sandy, desert-like environment with an indistinct, dark object on the left. White subtitles appear at the bottom, first displaying ""I want to see."" and then transitioning to ""Show me."" The man's mouth moves as if speaking. The shot remains static throughout the video.",/videogen/audio_preprocess/matrix/video/01555e80ff47cdc86777_072_sdr_5.mp4,104
"The video shows two men in dark clothing engaged in a fight within a futuristic-looking room. The room has walls and a floor that display dynamic, green and yellow abstract wave patterns, creating a vibrant and unusual backdrop. A modern, metallic table with a few small decorative items and bottles stands in the center of the frame. One man, on the left, lunges forward towards the second man, who is to his right. The man on the right bends at the waist, seemingly ducking a blow or attempting to tackle the other man. The camera maintains a medium shot, providing a clear view of the two men and their interaction, while also showcasing the illuminated environment. The reflections of the men and the light patterns are visible on the glossy floor.",/videogen/audio_preprocess/matrix/video/01555e80ff47cdc86777_110_sdr_0.mp4,58
"The video starts with a full shot of two figures in dark attire, their silhouettes illuminated by a green light source, running towards the right side of the frame. They are in a large, dimly lit room with tall windows in the background and a large, ornate couch or bench in the foreground. Horizontal green laser lines traverse the room. As the figures move, a bright lens flare flashes across the screen, momentarily obscuring them. The shot then transitions to a medium shot, revealing one of the figures, now clearly visible in tactical gear and a helmet, holding a pistol and firing. The green lighting persists, highlighting the figure and the opulent room. The figure is shown from the waist up, their body angled slightly, as they fire their weapon.",/videogen/audio_preprocess/matrix/video/01555e80ff47cdc86777_096_sdr_6.mp4,73
"The video shows a man in a black suit, identified as John Wick, walking up a large, dark stone staircase during a heavy downpour at night. The staircase is illuminated by bright blue lights embedded in each step, creating a vibrant contrast with the dark surroundings. Other people, some holding clear umbrellas, are also seen walking up the stairs in the background. The camera moves in a handheld style, following John Wick as he ascends, capturing the intensity of the rain and the glow of the lights.",/videogen/audio_preprocess/matrix/video/01555e80ff47cdc86777_008_sdr_10.mp4,61
"The video opens with a low-angle shot of John Wick, riding a motorcycle and looking to his left, while a person in a helmet and dark clothing, also on a motorcycle, is visible in front of him. The two individuals are riding in what appears to be a tunnel or an enclosed space, with artificial lights on the ceiling. As the video progresses, John Wick extends his left arm forward, seemingly interacting with the person in front of him, who then moves to the right side of the screen. Another person in a helmet and dark clothing comes into view, riding a motorcycle alongside John Wick. The shot transitions to a medium close-up, showing John Wick with a slight smile on his face, riding between the two helmeted individuals. The background features blurred artificial lights, suggesting high speed. The scene concludes with John Wick remaining between the two other motorcyclists, all three riding forward in what appears to be a coordinated formation within the dimly lit environment.",/videogen/audio_preprocess/matrix/video/01555e80ff47cdc86777_079_sdr_2.mp4,70
"The video starts with an over-the-shoulder shot of a person with their back to the camera. They are looking at a document on a table, which has a gold pen placed on it. The document appears to be a ledger with green lines and handwritten entries. As the camera zooms in, the document is revealed to be a page titled ""CONTINENTAL HOTEL, NEW YORK NO. MDCCXVII"". The page contains various texts and black and white images, including what appears to be an old photograph of the Continental Hotel building and a floor plan. To the right of this document, another document is visible, which appears to be a ""CRIMINAL RECORD"" with a black and white photograph of an older man. The person's left hand, adorned with rings, is visible in the foreground, holding a white object, possibly a magnifying glass, over the document. The overall visual style is realistic.",/videogen/audio_preprocess/matrix/video/01555e80ff47cdc86777_087_sdr_7.mp4,63
"The video opens with a wide shot of a desert landscape under a clear blue sky, dominated by vast, undulating sand dunes. In the foreground, a person dressed in traditional desert attire, consisting of a white long robe and a red head covering, walks from left to right. They are leading a saddled camel with a rope, which is positioned to the person's right. The camel, a dromedary with one hump, is carrying luggage on its back. The sun casts long shadows from the dunes, indicating a low sun angle, possibly morning or late afternoon. As the video progresses, the person and the camel continue their journey across the sandy terrain, maintaining their relative positions within the frame. The camera remains static, capturing the slow and steady movement of the figures against the expansive, textured backdrop of the desert. The scene evokes a sense of journey and tranquility in a remote, arid environment.",/videogen/audio_preprocess/matrix/video/01555e80ff47cdc86777_069_sdr_0.mp4,50
"The video opens with a medium shot of a man from the chest up, wearing a light-colored long-sleeved shirt and a red turban, his gaze directed towards the right. Behind him, a camel is visible. The camera then executes a pan to the right, transitioning to a medium shot that focuses on the camel. The camel, equipped with a saddle and what appears to be a person slumped over it, is seen from its head to its mid-body. The desert background, characterized by sand dunes, remains consistent throughout the shot, with a clear blue sky above.",/videogen/audio_preprocess/matrix/video/01555e80ff47cdc86777_069_sdr_2.mp4,85
"The video starts with a close-up shot of an older man's face, angled from his right side. He has gray hair and wrinkles, and he is wearing a light blue collared shirt. His eyes are open, and he appears to be looking slightly upwards and to the right. The background is blurred and appears to be a muted blue and gray color, suggesting an indoor setting with diffused lighting. The shot remains static throughout the video, focusing on the man's expression.",/videogen/audio_preprocess/matrix/video/01555e80ff47cdc86777_119_sdr_7.mp4,80
"The video opens with a medium shot of a bustling outdoor market, filled with numerous people walking in various directions on a dirt path. The buildings on either side are light-colored with arched openings, and some feature colorful textiles hanging for sale. In the background, a white minaret of a mosque is visible under a clear sky. As the camera slowly pulls back, a person with dark, shoulder-length hair, wearing a dark jacket, comes into view, their back to the camera, indicating an over-the-shoulder perspective. The market remains active with people continuing to move about, some carrying bags, and one individual pushing a bicycle. The overall visual style is realistic.",/videogen/audio_preprocess/matrix/video/01555e80ff47cdc86777_038_sdr_3.mp4,54
