text,video_path,audio_path,num_frames,video_width,video_height
"The video starts with a close-up shot of a variety of fish displayed on a wooden table. Red snapper and smaller silver fish are visible, suggesting a market setting. The camera then smoothly transitions to a medium shot, revealing several women walking towards the camera. Most of the women are wearing headscarves, and one woman in the foreground is wearing a yellow long dress and blue headscarf, while another next to her is wearing a multi-colored floral top and white headscarf. As they continue to walk, the camera follows them. The scene then shifts to an over-the-shoulder perspective, looking past the women towards a man with a beard and a suit, presumably Keanu Reeves, standing in the distance near a large boat. The women are walking through a crowded market, and the camera follows them from behind, showing the backs of their heads and shoulders as they move towards the man. The shot ends with Keanu Reeves visible in the background, partially obscured by the women walking in front of the camera.<AUDCAP>Continuous background murmur of a crowd, indistinct chatter, and ambient market sounds, suggesting a bustling environment. No discernible speech or music is present.<ENDAUDCAP>",/cpfs01/gongshukai/datasets/matrix_data/video/01555e80ff47cdc86777_038_sdr_1.mp4,/cpfs01/gongshukai/datasets/matrix_data/audio/01555e80ff47cdc86777_038_sdr_1.wav,127,2160,1080
"The video starts with a medium shot of Ruby Rose from Batwoman in a dark purple suit, holding a gun and facing a man in a black suit. She says, <S>Go. I'll finish this.<E> Behind her, a reflection of a man is visible on a red screen. The shot then transitions to a close-up of the man in the black suit. He has short curly hair and a scar on his right cheek. The lighting shifts from red to a cool blue, creating a dramatic effect. The man looks directly at the camera with a serious expression. The shot is over the shoulder of an unseen person facing the man. <AUDCAP>A clear, assertive female voice says, ""Go. I'll finish this."" In the background, a robotic female voice with a slight echo delivers an announcement: ""at the new modern NYC. We hope the exhibit has been one of reflective contemplation."" This background speech is consistent throughout, creating an ambient, almost ethereal soundscape, accompanied by a low, consistent hum.<ENDAUDCAP>",/cpfs01/gongshukai/datasets/matrix_data/video/92456f2b4bc78c29128a_101_sdr_5.mp4,/cpfs01/gongshukai/datasets/matrix_data/audio/92456f2b4bc78c29128a_101_sdr_5.wav,205,1608,804
"The video starts with a close-up shot of a dark-skinned man with a beard, holding a white pigeon gently in his hands. He is wearing dark clothing and the background is out of focus, showing blurry building structures. The man brings the pigeon closer to his face, appearing to kiss its head or coo at it. He then moves the pigeon slightly, examining it carefully. The man's expression is calm and gentle as he interacts with the bird. The shot is a close-up, focusing on the man's face and hands, with the background remaining blurred. The lighting suggests an outdoor setting during the day, with some backlight highlighting the man's hair.<AUDCAP>Gentle cooing sounds from the pigeon are heard throughout the video.<ENDAUDCAP>",/cpfs01/gongshukai/datasets/matrix_data/video/92456f2b4bc78c29128a_085_sdr_4.mp4,/cpfs01/gongshukai/datasets/matrix_data/audio/92456f2b4bc78c29128a_085_sdr_4.wav,214,1608,804
"The video starts with a medium shot of a man with a bald head and a beard, holding onto a bar in what appears to be a subway train. He is wearing a dark blue quilted jacket over a black turtleneck. His gaze is directed to his right, slightly upward. In the background, out of focus, other passengers are visible, some also holding onto bars. Advertisements are displayed on the train's interior walls, one of which has the text 'OUTSIDE INSIDE THE BOX.' Another display, partially visible, shows text that includes 'METROPOLITAN' and 'TRADING.' The shot is from a slightly low angle, emphasizing the man's figure. The lighting inside the subway is dim, with bright overhead lights illuminating the bars. The train is in motion, causing a slight sway. A female voice announces, <S>This is Rector Street.<E> <AUDCAP>The constant rumble and clatter of a subway train in motion, a clear, automated female voice making an announcement. The announcement repeats briefly towards the end of the clip, but is cut off.<ENDAUDCAP>",/cpfs01/gongshukai/datasets/matrix_data/video/92456f2b4bc78c29128a_080_sdr_10.mp4,/cpfs01/gongshukai/datasets/matrix_data/audio/92456f2b4bc78c29128a_080_sdr_10.wav,123,1608,804
"The video starts with a medium shot of a man, from the chest up, with his back to the camera, standing by a window. The man is wearing a light-colored, long-sleeved shirt. His hair is dark and shoulder-length. As he stands still, he is silhouetted against the bright blue light coming from the window. Then, he turns his head slightly to the right, showing more of his profile. He then turns his head to the left, revealing his face and a dark beard. The camera zooms in slightly on his face. He lowers his head, and then slowly raises it, looking down and then up. The video ends with a close-up of his face, still silhouetted, looking straight ahead. The background remains a bright blue, indicating an outdoor or city environment.<AUDCAP>The distinct sound of clothing rustling is followed by a sharp, clear click. A low, continuous hum is present throughout the audio, suggesting ambient machinery or background noise.<ENDAUDCAP>",/cpfs01/gongshukai/datasets/matrix_data/video/92456f2b4bc78c29128a_023_sdr_7.mp4,/cpfs01/gongshukai/datasets/matrix_data/audio/92456f2b4bc78c29128a_023_sdr_7.wav,215,1604,802
"The video opens with a man, seen from behind, walking towards a subway train where several people are boarding. He is wearing a dark suit and has long dark hair. As he gets closer, two men emerge from the crowd, one stumbling and falling to the ground, leaving a trail of blood, while the other runs toward the suited man. The suited man quickly turns and grabs the approaching man, striking him. The camera is handheld, giving the scene a dynamic and immediate feel, emphasizing the quick escalation of events in the brightly lit subway station.<AUDCAP>Sound of a subway train approaching and stopping, followed by a sudden thud, then a distinct metallic click of a weapon being drawn. Grunts and sounds of a struggle, including impacts from a fight, are heard over the ambient background hum of a subway station.<ENDAUDCAP>",/cpfs01/gongshukai/datasets/matrix_data/video/92456f2b4bc78c29128a_078_sdr_8.mp4,/cpfs01/gongshukai/datasets/matrix_data/audio/92456f2b4bc78c29128a_078_sdr_8.wav,166,1606,802
"The video shows John Wick, an individual with a beard and dark hair, wearing a black suit and a white shirt, with visible blood marks on his face, moving down a set of stairs. He is holding a gun with his right hand, keeping it low. Other individuals are also present on the stairs, some moving up behind John Wick and others moving down around him. The stairs have a modern design with glass railings and light-colored steps. The lighting in the background is dim, casting a blue-green hue. The shot is a medium shot, following John Wick as he descends the stairs.<AUDCAP>A consistent, rhythmic electronic thumping or clunking sound is present throughout the audio. There is no discernible speech or music.<ENDAUDCAP>",/cpfs01/gongshukai/datasets/matrix_data/video/92456f2b4bc78c29128a_078_sdr_7.mp4,/cpfs01/gongshukai/datasets/matrix_data/audio/92456f2b4bc78c29128a_078_sdr_7.wav,128,1606,802
"The video starts with a close-up shot of John Wick, a man with dark hair and a beard, in a black suit, holding a black handgun in his right hand and a silver handgun in his left. He is looking intently to his right, aiming both pistols. The shot is over-the-shoulder, looking past John Wick's right side, revealing a mirrored room. In the reflections, multiple versions of John Wick are visible, some holding weapons and others in the process of aiming. The room is illuminated by neon lights, with blue and green hues on the left and red and orange hues on the right, creating a futuristic visual style. As the camera subtly moves, more reflections of John Wick and a male adversary in a suit become visible. The adversary, also holding a handgun, appears in the reflections as if aiming at John Wick. Suddenly, gunshots erupt from the reflections of the adversary, causing sparks and light flashes, indicating that the mirrors are being shot at. The video captures a tense shootout in a complex, multi-reflective environment.<AUDCAP>A distinct, sharp gunshot is heard, followed by sounds of shattering glass and metallic impacts as bullets hit the mirrored surfaces.<ENDAUDCAP>",/cpfs01/gongshukai/datasets/matrix_data/video/92456f2b4bc78c29128a_100_sdr_5.mp4,/cpfs01/gongshukai/datasets/matrix_data/audio/92456f2b4bc78c29128a_100_sdr_5.wav,146,1616,808
"The video starts with John Wick, a man with long hair, a beard, and a suit, holding a pistol and looking to the left. He is positioned in the right foreground of the shot. The background is a room with multiple reflective surfaces that create a distorted, mirrored effect, showing several reflections of John Wick and other indistinct figures. The room is dimly lit, with bright blue neon lights outlining various structures and reflecting off the mirrored surfaces. The camera then slightly zooms out and pans to the left, showing more of the mirrored reflections and the distorted environment. Throughout the video, John Wick maintains his focused expression, holding the pistol steadily with both hands as he navigates the reflective space. The shot is a medium shot, with the camera at eye level. A female voice says, <S>to the world and just possibly lead you to deeper reflection into the nature of<E><AUDCAP>A calm, clear female voice speaks with a slightly processed, somewhat ethereal quality, almost like a narrator or AI. The sound is dry and direct, indicating a close-up recording.<ENDAUDCAP>",/cpfs01/gongshukai/datasets/matrix_data/video/92456f2b4bc78c29128a_096_sdr_9.mp4,/cpfs01/gongshukai/datasets/matrix_data/audio/92456f2b4bc78c29128a_096_sdr_9.wav,142,1606,802
"The video opens with a medium shot of John Wick, a man in a black suit and tie, standing on what appears to be a rooftop. His dark hair is slightly disheveled, and there is a visible scratch on his right cheek. He looks towards the right side of the frame. Behind him, another man with a beard and wearing a beanie is partially visible. To the right of John Wick, a third man, also wearing a beanie, is seen from the chest up, facing towards John Wick. The background features several buildings under a clear blue sky. Two prominent chimney-like structures are visible in the distance on the right side. The man on the right states, <S>You're not very good at retiring.<E> John Wick replies, <S>I'm working on it.<E> As the video progresses, the man on the far right shifts slightly, and his body partially obscures the view of John Wick. John Wick remains stationary, maintaining his gaze.<AUDCAP>A clear, deep male voice with a slightly amused tone speaks. John Wick, another male, responds with a serious, calm, and deep voice. There is minimal ambient background sound, primarily focusing on the dialogue.<ENDAUDCAP>",/cpfs01/gongshukai/datasets/matrix_data/video/92456f2b4bc78c29128a_086_sdr_1.mp4,/cpfs01/gongshukai/datasets/matrix_data/audio/92456f2b4bc78c29128a_086_sdr_1.wav,122,1610,804
