prompt,image,seed
"Two individuals, a blonde woman in a dark jacket and striped shirt, and a dark-haired woman in a light-colored blouse and blue jeans, sit on steps in a public or semi-public urban space, engaged in a conversation while holding a small object, surrounded by a backdrop of a building and potted plants with other people in the background. <AUDCAP>Upbeat, rhythmic electronic dance music with a prominent beat and repetitive, sampled English vocal phrases like 'one more time' and 'lose, lose'.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_008/16/78/167880012576f6f8a7ef3ea3a150d5b4,0
"In the video, two individuals are seen interacting on a narrow, historic street lined with vintage cars and European-style buildings, evoking a mid-20th-century atmosphere. A British police officer in a traditional dark blue uniform shakes hands with a man in a brown jacket and scarf. The man says, <S>as my guest.<E> After the handshake, the officer looks down while the man turns and walks away, casting a glance back at the officer and adding, <S>He seemed interested.<E> <AUDCAP>A clear, calm male voice speaks two short sentences with a conversational tone. There is a subtle, distant ambient sound that could be general street atmosphere.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_014/58/3a/583a8ceee805e294f0fbad762fb60849,0
"A woman with short, wavy hair and red lipstick stands alone in a dry, grassy field under an overcast sky, wearing a teal jacket over a white blouse, a necklace, and a concerned expression. She says, <S>Yes, Mr. Jarvis, there is a cost.<E> She then adds, <S>One that I have paid for a hundred times over.<E> <AUDCAP>A clear, serious female voice speaks with a firm tone. Subtle, orchestral, and dramatic background music plays throughout.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_016/0c/c4/0cc42da29cb4c5f2b4da556fa4d8744d,0
"The video captures a formal wedding ceremony in a grand church. A woman in a traditional white wedding gown with large puffed sleeves stands centrally, holding a bouquet. To her left is a man in a black suit with a bow tie. To her right, an older man in a dark coat leans on a cane. A fourth person, a priest, is partially visible behind the bride. All stand in front of a large black and white cross and ornate decorations, including a table with candles and flowers. The scene is set against a backdrop of high ceilings, intricate details, and soft lighting. A male voice says, <S>vintage of you.<E> Another male voice commands, <S>Please go, sir.<E> The woman then states, <S>You were my husband.<E> A man replies, <S>Your dear Alfie.<E> Another male voice calls out, <S>Bella.<E> And then says, <S>I'm sorry.<E> <AUDCAP>A low-pitched ambient hum is present. A male voice speaks gravely, followed by another male voice speaking assertively. A female voice speaks calmly. Then, two different male voices speak, one gently and the other apologetically. The speech is clear and distinct.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_013/56/4a/564ab7616ccc16075ca8ef0ac5224ffd,0
"A mature woman with short, dark, neatly styled hair and light skin is shown in a close-up, wearing a white lab coat and geometric earrings. Her eyes are closed, and she appears pensive or melancholic, with a slight downturn to her lips. In the background, out of focus, are shelves stocked with bottles, suggesting a pharmacy or medical setting. <AUDCAP>A gentle, emotional sigh from a female voice, followed by soft, melancholic string music with a slow tempo. The overall atmosphere is somber and reflective.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_015/bc/17/bc1755d5724bca692efdaba3ce588ab0,0
"A woman with dark hair, wearing a white dress, walks confidently through a modern, well-lit office with glass walls, revealing other colleagues working and a city skyline through large windows. She enters an office, where a man in a suit sits at a desk, looking at papers, with a cityscape visible in the background. The office features framed pictures and a large painting. The man looks up and says, <S>Jessica.<E> He then asks, <S>To what do I owe the honor? What can I do for you?<E> The woman approaches the desk and says, <S>Louis, I am coming to you.<E> <AUDCAP>A clear, calm male voice speaks. A confident, clear female voice speaks. The background contains subtle office ambiance with faint murmurs and the distant hum of activity.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_008/4d/db/4ddbd0ce4212162c3c2583bb7b765c5b,0
"The video shows a group of individuals in orange jumpsuits engaged in intense physical training within what appears to be a prison or correctional facility, bathed in the warm, golden light of dawn or dusk. In the foreground, a shirtless man lifts weights on a bench press, with another man assisting him. Other individuals in orange jumpsuits are visible in the background, some walking, others watching or participating in exercises. A basketball hoop is visible in the background. As the training progresses, male voices are heard shouting encouragement, including the phrases: <S>Go, go, go, go, go, go! Yeah.<E> <S>Go, go, go, go, go!<E> <S>Yeah.<E> and <S>Go, go, go, go, go!<E> <AUDCAP>Multiple male voices shout encouragement with an excited and intense tone. Sounds of grunting and the clanging of weights are present, indicating physical exertion. General ambient sounds of a busy yard are also heard.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_007/0b/4c/0b4c39f20e0c90799c96d6f0ee122be3,0
"The video shows a woman with short blonde hair and a man with gray hair embracing in a dimly lit, formal room with wooden paneling. A third man in a white shirt observes from behind a desk adorned with flags, including the Russian flag, in the background. They pull apart slightly but remain close, looking at each other. The man asks, <S>Would you like to lie down for a bit? Change your clothes?<E> The woman replies, <S>No, I can do that on the plane.<E> The man instructs, <S>Oh, you go straight there. We have the press conference soon.<E> The woman asserts, <S>I should be with you, Francis.<E> The man responds, <S>We have that handled.<E> The woman then states, <S>I'd like to say something.<E><AUDCAP>A male voice speaks in a calm, authoritative, and slightly concerned tone. A female voice responds with determination and a hint of weariness. Subtle, melancholic orchestral music plays softly in the background throughout the scene.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_013/a6/1b/a61b7503c5484cff41e58868ee748a0f,0
"The video shows a single male figure with light skin and neatly styled hair, dressed in a light-colored collared shirt with suspenders, standing in a serene outdoor setting with a warm, late afternoon or early evening sky. He turns his head and raises his hand in a gentle wave, surrounded by an empty, natural landscape. <S>I was always<E> <AUDCAP>A gentle, melancholic orchestral score plays softly in the background. A clear, warm male voice speaks, his sentence is cut short. The overall mood is reflective and slightly poignant.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_016/fb/df/fbdf0f4926a1569d29f91ace8c626189,0
"A young Asian woman, with her dark hair tied in a ponytail and bangs framing her face, smiles radiantly. She is dressed in a yellow long-sleeved top over a white turtleneck. Her right arm is extended forward, and her hand is making a gesture with her fingers curled. She looks slightly to her left (viewer's right) with a joyful expression. The background features a textured grey wall and a white rectangular panel.<AUDCAP>Gentle, melodic, and emotional instrumental music plays throughout. No speech or distinct sound effects are present.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_012/f9/94/f994017e3416d1777109a684b6c6ff4f,0
"The video shows a single individual, a regal figure dressed in a black garment with gold embroidery and a golden headpiece, standing upright in a formal, indoor setting with red and blue drapery, exuding a sense of solemnity and contemplation. The character's light skin tone, styled updo, and dignified posture reinforce their high status, likely in a palace or significant hall.<AUDCAP>A low, contemplative male hum is heard, followed by dramatic, suspenseful instrumental music in the background.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_009/d4/7b/d47ba9a1b2c688ba484dadf8bc9a7e0a,0
"A young woman with long, dark hair turns her head from looking away to reveal her profile as she gazes out a window. Her fair skin and contemplative expression are visible. In the blurred background, tall, modern buildings stand against a bright, light blue sky, depicting a serene urban landscape. <AUDCAP>Melancholic and serene instrumental music plays, featuring a prominent, gentle piano melody and soft, atmospheric strings.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_005/fe/8b/fe8baa262f56a74fdd43b49893299c53,0
"The video shows a man in a dark jacket and white shirt gently adjusting a yellow and white patterned duvet over a sleeping person on a bed. The man is looking down with a caring expression. In the background, there's a bookshelf filled with books and some decorative items, and the room is dimly lit with warm light, including two globe-like ceiling lights. <AUDCAP>Soft, gentle instrumental music plays throughout, creating a peaceful and serene atmosphere.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_014/24/5f/245f402e721d03e55808830bed9ecc21,0
"A man in a red bathrobe and black sandals stands on a wooden deck, looking towards a hot tub where another man is relaxing. He says, <S>Oh.<E> He then walks towards a bush, observing a white drone, and says, <S>Looks like someone's drone.<E> The backyard is lush with greenery, and a house with green siding is in the background. On-screen text reads 'produced by Kristy Cecil and Robinson Green'. <AUDCAP>The sound of water bubbling from the hot tub is present. A male voice speaks in a calm, conversational tone.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_011/85/16/851679ec766fc6c65dcd8630adaf9d05,0
"A woman in a dark shirt and gray pants bends down to pet a shaggy black and white dog lying on a green lawn. Two other people, a woman in an orange patterned top and a man in a red patterned shirt, sit on the white wooden porch steps behind her. The woman on the lawn says, <S>Hey, Luna.<E> She stands up and says, <S>Okay.<E> then sits on the steps with the others. She asks, <S>Hey, how'd it turn out with Luke?<E> The woman in the orange top replies, <S>Oh, he got mad at me.<E> The first woman says, <S>I'm sorry.<E> The woman in orange responds, <S>No, it's so funny.<E><AUDCAP>A clear female voice speaks in a friendly, casual tone. Another female voice responds, initially with a hint of exasperation, then amusement. A third female voice expresses apology. A dog's panting and movement sounds are present. The overall audio is conversational with ambient outdoor sounds.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_016/8d/2d/8d2d4d7733863804c018d9d4dae25875,0
"The video features a single woman in her thirties with blonde hair, fair skin, and glasses, dressed in a dark top with loose waves, as she sits in a dimly lit indoor setting. Her expressions shift from initial concern and contemplation to visible sadness, her eyes closing briefly before looking down. Her stillness contrasts with the quiet, subdued atmosphere surrounding her. <AUDCAP>A soft, emotional sigh is heard, followed by a mournful, instrumental musical score with strings and piano, creating a sad and reflective atmosphere.<ENDAUDCAP>",/cpfs01/dataset/OpenHumanVid/clips/part_016/8f/4a/8f4aae23cb064c0806602934d9854d06,0
